2016-01-06 14:55:13 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\system\library\response.php on line 12
2016-01-06 14:55:18 - PHP Notice:  Undefined index: export_type in C:\OpenServer\domains\testNovumSoft\admin\controller\tool\export_import.php on line 71
2016-01-06 14:55:18 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\system\library\response.php on line 12
2016-01-06 14:58:33 - PHP Notice:  Undefined index: export_type in C:\OpenServer\domains\testNovumSoft\admin\controller\tool\export_import.php on line 71
2016-01-06 14:58:33 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6936
2016-01-06 14:58:33 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6937
2016-01-06 14:58:33 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6938
2016-01-06 14:58:59 - PHP Notice:  Undefined index: export_type in C:\OpenServer\domains\testNovumSoft\admin\controller\tool\export_import.php on line 71
2016-01-06 14:58:59 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6936
2016-01-06 14:58:59 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6937
2016-01-06 14:58:59 - PHP Warning:  Cannot modify header information - headers already sent by (output started at C:\OpenServer\domains\testNovumSoft\admin\index.php:80) in C:\OpenServer\domains\testNovumSoft\admin\model\tool\export_import.php on line 6938
